DAX,SMI,CAC,FTSE
1628.75,1678.1,1772.8,2443.6
1613.63,1688.5,1750.5,2460.2
1606.51,1678.6,1718,2448.2
1621.04,1684.1,1708.1,2470.4
1618.16,1686.6,1723.1,2484.7
1610.61,1671.6,1714.3,2466.8
1630.75,1682.9,1734.5,2487.9
1640.17,1703.6,1757.4,2508.4
1635.47,1697.5,1754,2510.5
1645.89,1716.3,1754.3,2497.4
1647.84,1723.8,1759.8,2532.5
1638.35,1730.5,1755.5,2556.8
1629.93,1727.4,1758.1,2561
1621.49,1733.3,1757.5,2547.3
1624.74,1734,1763.5,2541.5
1627.63,1728.3,1762.8,2558.5
1631.99,1737.1,1768.9,2587.9
1621.18,1723.1,1778.1,2580.5
1613.42,1723.6,1780.1,2579.6
